Location,Description,"Service Period",Amount
"8207AUBURN AL",USA,CHARTER,H2370
"35081BEULAH AL",USA,"CHARTER COMMUNICATIONS",GUIDE
"22229FAIRFIELD AL",USA,CHARTER,H0377
"103557LEEDS AL",USA,"CHARTER COMMUNICATIONS",GUIDE
"1470MONTGOMERY AL",USA,CHARTER,H1607
"MAIL PAYMENT TO:","PO BOX 842842","LOS ANGELES, CA",90084-2842
"10807PIEDMONT AL",USA,"CHARTER COMMUNICATIONS",GUIDE
"310503ROANOKE AL",USA,"CHARTER COMMUNICATIONS, INC.",GUIDE
"19158SELMA AL",USA,CHARTER,H1665
"10580YUMA AZ",USA,"CHARTER COMMUNICATIONS",665
"1016ALTURAS CA",USA,"CHARTER COMMUNICATIONS",GUIDE
"25460CALIFORNIA CITY CA",USA,"CHARTER COMMUNICATIONS",GUIDE
"1479CARLSBAD CA",USA,"CHARTER COMMUNICATIONS",341
"1937CRESCENT CITY CA",USA,"CHARTER COMMUNICATIONS",GUIDE
"10766GILROY CA",USA,"CHARTER COMMUNICATIONS",GUIDE
"10690PORTERVILLE CA",USA,"CHARTER COMMUNICATIONS","GU IDE"
"19568REDDING CA",USA,"CHARTER COMMUNICATIONS",GUIDE
"11396SIMI VALLEY CA",USA,"CHARTER COMMUNICATIONS","317 GUIDE"
"11169SOUTH LAKE TAHOE CA",USA,"CHARTER COMMUNICATIONS H0057",GUIDE
"25771WATSONVILLE CA",USA,"CHARTER COMMUNICATIONS","GU IDE"
"11119ALAMOSA CO",USA,CHARTER,H0334
"6938BUENA VISTA CO",USA,CHARTER,H1066
"10495CANON CITY CO",USA,CHARTER,H1591
"1402CRAIG CO",USA,CHARTER,H0747
"3615DURANGO CO",USA,CHARTER,H0067
"106274FORT MORGAN CO",USA,CHARTER,GUIDE
"3863GRAND JUNCTION CO",USA,CHARTER,H1283
"2402LA JUNTA CO",USA,CHARTER,H1074
"11122LEADVILLE CO",USA,CHARTER,H0345
"11218MONTROSE CO",USA,CHARTER,H0471
"11181SALIDA CO",USA,CHARTER,H0351
"11193STERLING CO",USA,CHARTER,H0472
"12104WALSENBURG CO",USA,CHARTER,GUIDE
"2320ATHENS GA",USA,"CHARTER COMMUNICATIONS",GUIDE
"1963CARROLLTON/VILLA GA",USA,"CHARTER COMMUNICATIONS, INC.",GUIDE
"11597CEDARTOWN GA",USA,"CHARTER COMMUNICATIONS","GUID E"
"3199CHATSWORTH GA",USA,"CHARTER COMMUNICATIONS","GUI DE"
"1901COLUMBUS GA",USA,"CHARTER COMMUNICATIONS, INC.",GUIDE
"12829DUBLIN GA",USA,"CHARTER COMMUNICATIONS, INC.","G UIDE"
"30502EATONTON GA",USA,"CHARTER COMMUNICATIONS, INC.",GUIDE
"1032GAINESVILLE GA",USA,"CHARTER COMMUNICATIONS","GU IDE"
"1259LA GRANGE GA",USA,"CHARTER COMMUNICATIONS, INC.",GUIDE
"11305MILLEDGEVILLE GA",USA,"CHARTER COMMUNICATIONS",GUIDE
"1728NEWNAN GA",USA,"CHARTER COMMUNICATIONS, INC.","G UIDE"
"1035SMYRNA GA",USA,"CHARTER COMMUNICATIONS",GUIDE
"34089STOCKBRIDGE/HENR GA",USA,"CHARTER COMMUNICATIONS, INC.",GUIDE
"1820SUWANEE GA",USA,"CHARTER COMMUNICATIONS",GUIDE
"1729THOMASTON GA",USA,"CHARTER COMMUNICATIONS, INC.",GUIDE
"6188CENTRALIA IL",USA,"CHARTER COMMUNICATIONS","GUID E"
"6191MOUNT VERNON IL",USA,"CHARTER COMMUNICATIONS","G UIDE"
"1051EVANSVILLE IN",USA,"CHARTER COMMUNICATIONS","GUI DE"
"2848BOWLING GREEN KY",USA,"CHARTER COMMUNICATIONS","11 86 Insight"
"3213EDGEWOOD KY",USA,"CHARTER COMMUNICATIONS","1188 In sight"
"11424HOPKINSVILLE KY",USA,"CHARTER COMMUNICATIONS","G UIDE"
"2247LEXINGTON KY",USA,"CHARTER COMMUNICATIONS","1511 I NSIGHT"
"2108LOUISVILLE KY",USA,"CHARTER COMMUNICATIONS","1190 Insight"
"1274MADISONVILLE KY",USA,"CHARTER COMMUNICATIONS","G UIDE"
"10547MURRAY KY",USA,"CHARTER COMMUNICATIONS",9F3
"13127BOURG LA",USA,"CHARTER COMMUNICATIONS",GUIDE
"6339CHURCH POINT LA",USA,"CHARTER COMMUNICATIONS","G UIDE"
"34395EUNICE LA",USA,"CHARTER COMMUNICATIONS",GUIDE
"21890HAMMOND LA",USA,"CHARTER COMMUNICATIONS",GUIDE
"6067JENNINGS LA",USA,"CHARTER COMMUNICATIONS",GUIDE
"3681OPELOUSAS LA",USA,"CHARTER COMMUNICATIONS",7E5
"50902SLIDELL LA",USA,"CHARTER COMMUNICATIONS",7E6
"6068THIBODAUX LA",USA,"CHARTER COMMUNICATIONS -LAFOUR",5E7
"51391ATHOL MA",USA,"CHARTER COMMUNICATIONS",S243
"51391ATHOL MA",USA,"CHARTER COMMUNICATIONS",S243
"7282CRISFIELD MD",USA,"CHARTER COMMUNICATIONS","GUID E"
"304441PORTLAND ME",NONE,"CHARTER COMMUNICATIONS","GUID E"
"1233ALLEGAN MI",USA,"CHARTER COMMUNICATIONS",GUIDE
"11191ALPENA MI",USA,"CHARTER COMMUNICATIONS",GUIDE
"2889BAY CITY MI",USA,"CHARTER COMMUNICATION -BAY CIT",GUIDE
"3338CHESANING MI",USA,"CHARTER COMMUNICATIONS","GUID E"
"7985COLDWATER MI",USA,"CHARTER COMMUNICATIONS","GUID E"
"1205DAVISON MI",USA,"CHARTER COMMUNICATIONS",994
"3406DURAND MI",USA,"CHARTER COMMUNICATIONS",GUIDE
"6969ESCANABA MI",USA,"CHARTER COMMUNICATIONS",GUIDE
"1826FENTON MI",USA,"CHARTER COMMUNICATIONS",992
"8945HIGGINS LAKE MI",USA,"CHARTER COMMUNICATIONS","G UIDE"
"22752HOWARD CITY MI",USA,"CHARTER COMMUNICATIONS","GU IDE"
"2890IRON MOUNTAIN MI",USA,"CHARTER COMMUNICATIONS",GUIDE
"105827IRONS MI",USA,CHARTER,GUIDE
"11387IRONWOOD MI",USA,"CHARTER COMMUNICATIONS",GUIDE
"11387IRONWOOD MI",USA,"CHARTER COMMUNICATIONS",GUIDE
"28391METAMORA/OXFORD MI",USA,"CHARTER COMMUNICATIONS",7F8
"9683MIDLAND MI",USA,"CHARTER COMMUNICATIONS",GUIDE
"8031MONROE MI",USA,"CHARTER COMMUNICATIONS",GUIDE
"3340MONTROSE MI",USA,"CHARTER COMMUNICATIONS",GUIDE
"1076MT PLEASANT MI",USA,"CHARTER COMMUNICATIONS","GU IDE"
"24304NORTH BRANCH MI",USA,"CHARTER COMMUNICATIONS","G UIDE"
"8667OSCODA MI",USA,"CHARTER COMMUNICATIONS",GUIDE
"2333OWOSSO MI",USA,"CHARTER COMMUNICATIONS",GUIDE
"24303OXFORD MI",USA,"CHARTER COMMUNICATIONS",GUIDE
"3055SAGINAW MI",USA,"CHARTER COMMUNICATIONS",GUIDE
"28387SANFORD MI",USA,"CHARTER COMMUNICATIONS",GUIDE
"11283SAULT STE MARIE MI",USA,"CHARTER COMMUNICATIONS",GUIDE
"28099ST. HELEN MI",USA,"CHARTER COMMUNICATIONS","GUID E"
"1427STURGIS MI",USA,"CHARTER COMMUNICATIONS",GUIDE
"100508THOMAS MI",USA,"CHARTER COMMUNICATIONS",H1001
"2151TRAVERSE CITY MI",USA,"CHARTER COMMUNICATIONS",GUIDE
"1077WHITEHALL MI",USA,"CHARTER COMMUNICATIONS","GUID E"
"7766ALBERT LEA MN",USA,"CHARTER COMMUNICATIONS","GUI DE"
"14484ALEXANDRIA MN",USA,"CHARTER COMMUNICATIONS","GUI DE"
"14486AUSTIN MN",USA,"CHARTER COMMUNICATIONS",GUIDE
"11284BRAINERD MN",USA,"CHARTER COMMUNICATIONS",GUIDE
"20238BUFFALO MN",USA,"CHARTER COMMUNICATIONS",GUIDE
"1326DULUTH MN",USA,"CHARTER COMMUNICATIONS",GUIDE
"1306FARIBAULT MN",USA,"CHARTER COMMUNICATIONS","GUID E"
"1155FERGUS FALLS MN",USA,"CHARTER COMMUNICATIONS","G UIDE"
"6211MANKATO MN",USA,"CHARTER COMMUNICATIONS",GUIDE
"10525MARSHALL MN",USA,"CHARTER COMMUNICATIONS",GUIDE
"10751OWATONNA MN",USA,"CHARTER COMMUNICATIONS",GUIDE
"11325ROCHESTER MN",USA,"CHARTER COMMUNICATIONS","GUID E"
"1307ROSEMOUNT MN",USA,"CHARTER COMMUNICATIONS","GUID E"
"26028SAUK CENTRE MN",USA,"CHARTER COMMUNICATIONS","GU IDE"
"12449ST CLOUD MN",USA,"CHARTER COMMUNICATIONS",GUIDE
"10791WILLMAR MN",USA,"CHARTER COMMUNICATIONS",GUIDE
"11335WINONA MN",USA,"CHARTER COMMUNICATIONS",GUIDE
"7938CAPE GIRARDEAU MO",USA,"CHARTER COMMUNICATIONS",GUIDE
"1665CLINTON MO",USA,"CHARTER COMMUNICATIONS",GUIDE
"1878HANNIBAL MO",USA,CHARTER,H2123
"1686LEADINGTON MO",USA,"CHARTER COMMUNICATIONS, INC.",GUIDE
"21055LOUISIANA MO",USA,"CHARTER COMMUNICATIONS, INC",GUIDE
"103317OLIVETTE MO",USA,"CHARTER COMMUNICATIONS",GUIDE
"29630OSAGE BEACH MO",USA,"CHARTER COMMUNICATIONS","GU IDE"
"3879PERRYVILLE MO",USA,"CHARTER COMMUNICATIONS","GUI DE"
"2516ST GENEVIEVE MO",USA,"CHARTER COMMUNICATIONS","G UIDE"
"6576SULLIVAN MO",USA,"CHARTER COMMUNICATIONS",GUIDE
"7728WARRENSBURG MO",USA,"CHARTER COMMUNICATIONS","GU IDE"
"6803WARRENTON MO",USA,"CHARTER COMMUNICATIONS, INC.",GUIDE
"14420ANACONDA MT",USA,CHARTER,H0243
"7321BIG TIMBER MT",USA,CHARTER,GUIDE
"11158BILLINGS - LEGACY MT",USA,CHARTER,H0068
"11170BOZEMAN MT",USA,CHARTER,H0242
"11153BUTTE MT",USA,CHARTER,H0241
"2335CHINOOK MT",USA,CHARTER,GUIDE
"11347CUT BANK MT",USA,CHARTER,H0576
"11135DEER LODGE MT",USA,CHARTER,H0240
"11155DILLON MT",USA,CHARTER,H0239
"11302GREAT FALLS MT",USA,CHARTER,H1764
"11398HAMILTON MT",USA,CHARTER,H0581
"1349HAVRE MT",USA,CHARTER,H0209
"7927HELENA MT",USA,CHARTER,H0237
"11289KALISPELL MT",USA,CHARTER,H0578
"11162LIVINGSTON MT",USA,CHARTER,H0235
"11320MISSOULA MT",USA,CHARTER,H0580
"32756POLSON MT",USA,CHARTER,H0579
"15067RED LODGE MT",USA,CHARTER,GUIDE
"1434TOWNSEND MT",USA,CHARTER,GUIDE
"3577ASHEVILLE NC",USA,"CHARTER COMMUNICATIONS","GUID E"
"8393BOONE NC",USA,CHARTER,GUIDE
"13568BURNSVILLE NC",USA,"CHARTER COMMUNICATIONS, INC.",GUIDE
"1103CAMP LEJEUNE NC",USA,"CHARTER COMMUNICATIONS, INC .",GUIDE
"1102CAROLINA BEACH NC",USA,"CHARTER COMMUNICATIONS",GUIDE
"31162ERWIN/BUIES CREE NC",USA,"CHARTER COMMUNICATIONS, INC.",GUIDE
"6087HICKORY NC",USA,"CHARTER COMMUNICATIONS",GUIDE
"2925LENOIR NC",USA,"CHARTER COMMUNICATIONS, INC.","G UIDE"
"3349LINCOLNTON NC",USA,"CHARTER COMMUNICATIONS","GUI DE"
"8061MARION NC",USA,"CHARTER COMMUNICATIONS",GUIDE
"8902NAGS HEAD/MANTEO NC",USA,"CHARTER COMMUNICATIONS",GUIDE
"1472NORTH WILKESBORO NC",USA,"CHARTER COMMUNICATIONS",GUIDE
"6808PRINCETON NC",USA,"CHARTER COMMUNICATIONS, INC.",GUIDE
"11099ROANOKE RAPIDS NC",USA,"CHARTER COMMUNICATIONS",GUIDE
"6223ROXBORO NC",USA,"CHARTER COMMUNICATIONS",GUIDE
"1336SANFORD NC",USA,"CHARTER COMMUNICATIONS, INC.",GUIDE
"3644SILER CITY NC",USA,"CHARTER COMMUNICATIONS, INC.",GUIDE
"3645TROY NC",USA,"CHARTER COMMUNICATIONS, INC.","GUI DE"
"14098TRYON NC",USA,"CHARTER COMMUNICATIONS, INC.","GU IDE"
"14277WAVES NC",USA,"CHARTER COMMUNICATIONS",GUIDE
"11123ALLIANCE NE",USA,"CHARTER COMMUNICATIONS",GUIDE
"13009BEATRICE NE",USA,"CHARTER COMMUNICATIONS",GUIDE
"2380COZAD NE",USA,"CHARTER COMMUNICATIONS",GUIDE
"1090GRAND ISLAND 870 NE",USA,CHARTER,"Chadron, NE"
"2291HASTINGS NE",USA,"CHARTER COMMUNICATIONS",GUIDE
"2293KEARNEY NE",USA,"CHARTER COMMUNICATIONS",GUIDE
"13806KIMBALL NE",USA,"CHARTER COMMUNICATIONS",GUIDE
"11166NORTH PLATTE NE",USA,"CHARTER COMMUNICATIONS","G UIDE"
"2926OGALLALA NE",USA,"CHARTER COMMUNICATIONS",GUIDE
"11202SCOTTSBLUFF NE",USA,"CHARTER COMMUNICATIONS","GU IDE"
"24316SPRINGFIELD NE",USA,CHARTER,GUIDE
"11121CARSON CITY NV",USA,CHARTER,H0055
"2033FALLON NV",USA,CHARTER,"H1747 LYON/FERN"
"1294GARDNERVILLE NV",USA,CHARTER,H1745
"1294GARDNERVILLE NV",USA,CHARTER,H1745
"11297NORTH LAKE TAHOE NV",USA,"CHARTER COMMUNICATIONS - N. LA","H0586 Cyrst Bay"
"15231RENO NV",USA,CHARTER,H0583
"2156YERINGTON NV",USA,CHARTER,GUIDE
"10728SARANAC LAKE NY",USA,"CHARTER COMMUNICATIONS",072
"2342CHILLICOTHE OH",USA,"CHARTER COMMUNICATIONS","367 GUIDE"
"1471MEIGS COUNTY OH",USA,"CHARTER COMMUNICATIONS","A24 87"
"10701ASTORIA/WARRENTO OR",USA,"CHARTER COMMUNICATIONS",GUIDE
"10494BAKER OR",USA,"CHARTER COMMUNICATIONS",GUIDE
"26218BURNS-HINES OR",USA,"CHARTER COMMUNICATIONS","GU IDE"
"11629COOS BAY OR",USA,"CHARTER COMMUNICATIONS",GUIDE
"30740COTTAGE GROVE OR",USA,"CHARTER COMMUNICATIONS INC",GUIDE
"7852DALLAS OR",USA,"CHARTER COMMUNICATIONS",GUIDE
"27557FLORENCE OR",USA,"CHARTER COMMUNICATIONS",GUIDE
"31773HERMISTON OR",USA,"CHARTER COMMUNICATIONS","GUID E"
"310699KLAMATH FALLS OR",USA,"CHARTER COMMUNICATIONS",GUIDE
"310694LA GRANDE OR",USA,"CHARTER COMMUNICATIONS","GUID E"
"7491MEDFORD OR",USA,"CHARTER COMMUNICATIONS",GUIDE
"11288MILTON FREEWATER OR",USA,"CHARTER COMMUNICATIONS",GUIDE
"8579NEWPORT OR",USA,"CHARTER COMMUNICATIONS",GUIDE
"12137PENDLETON OR",USA,"CHARTER COMMUNCATIONS",GUIDE
"2216REEDSPORT OR",USA,"CHARTER COMMUNICATIONS","GUID E"
"9559ROSEBURG OR",USA,"CHARTER COMMUNICATIONS",GUIDE
"10705THE DALLES OR",USA,"CHARTER COMMUNICATIONS","GUI DE"
"20519ABBEVILLE SC",USA,"CHARTER COMMUNICATIONS, INC.",GUIDE
"3889GAFFNEY SC",USA,"CHARTER COMMUNICATIONS, INC.",GUIDE
"11667SPARTANBURG SC",USA,"CHARTER COMMUNICATIONS","GU IDE"
"3892UNION SC",USA,"CHARTER COMMUNICATIONS, INC.","GU IDE"
"29416ALCOA TN",USA,"CHARTER COMMUNICATIONS",GUIDE
"24210CENTERVILLE TN",USA,"CHARTER COMMUNICATIONS","GU IDE"
"1115CLARKSVILLE TN",USA,"CHARTER COMMUNICATIONS, INC.",GUIDE
"3086CLEVELAND TN",USA,"CHARTER COMMUNICATIONS","GUID E"
"1411COLUMBIA TN",USA,"CHARTER COMMUNICATIONS",GUIDE
"1610COOKEVILLE TN",USA,"CHARTER COMMUNICATIONS","GUI DE"
"1462CROSSVILLE TN",USA,"CHARTER COMMUNICATIONS","GUI DE"
"7004DAYTON TN",USA,"CHARTER COMMUNICATIONS",GUIDE
"23888FAYETTEVILLE TN",USA,"CHARTER COMMUNICATIONS","G UIDE"
"33601FLINTVILLE TN",USA,"CHARTER COMMUNICATIONS","GUI DE"
"3589JACKSON TN",USA,"CHARTER COMMUNICATIONS",S0T0
"23887LAWRENCEBURG TN",USA,"CHARTER COMMUNICATIONS","G UIDE"
"2471LEBANON TN",USA,"CHARTER COMMUNICATIONS",GUIDE
"1116LEWISBURG TN",USA,"CHARTER COMMUNICATIONS","GUID E"
"26471LORETTO TN",USA,"CHARTER COMMUNICATIONS",GUIDE
"1451MANCHESTER TN",USA,"CHARTER COMMUNICATIONS","GUI DE"
"3367MCKENZIE TN",USA,"CHARTER COMMUNICATIONS",GUIDE
"18961MONTEAGLE/TRACY TN",USA,"CHARTER COMMUNICATIONS",GUIDE
"23006MOUNTAIN CITY TN",USA,"CHARTER COMMUNICATIONS",GUIDE
"1418DENTON TX",USA,"CHARTER COMMUNICATIONS",GUIDE
"6027DUNCANVILLE TX",USA,"CHARTER COMMUNICATIONS","GU IDE"
"102017ROCKWALL TX",USA,"CHARTER COMMUNICATIONS",GUIDE
"10634SPRING TX",USA,"CHARTER COMMUNICATIONS",GUIDE
"1860WAXAHACHIE TX",USA,"CHARTER COMMUNICATIONS","GUI DE"
"7706ACCOMAC VA",USA,"CHARTER COMMUNICATIONS",GUIDE
"15727SUFFOLK VA",USA,"CHARTER COMMUNICATIONS",GUIDE
"10149COLVILLE WA",USA,"CHARTER COMMUNICATIONS",GUIDE
"10848ELLENSBURG WA",USA,"CHARTER COMMUNICATIONS","GUI DE"
"10848ELLENSBURG WA",USA,"CHARTER COMMUNICATIONS","GUI DE"
"10572KENNEWICK WA",USA,"CHARTER COMMUNICATIONS","GUID E"
"8034OMAK/OKANOGAN WA",USA,"CHARTER CABLE INC",GUIDE
"1283PROSSER WA",USA,"CHARTER COMMUNICATIONS",GUIDE
"100550WALLA WALLA WA",USA,"CHARTER COMMUNICATIONS","GU IDE"
"1867WENATCHEE WA",USA,"CHARTER COMMUNICATIONS","GUID E"
"10704YAKIMA WA",USA,"CHARTER COMMUNICATIONS",GUIDE
"2476ANTIGO WI",USA,"CHARTER COMMUNICATIONS",GUIDE
"2597BARABOO WI",USA,"CHARTER COMMUNICATIONS",H1208
"2358CLINTONVILLE WI",USA,"CHARTER COMMUNICATIONS","G UIDE"
"6837DRESSER WI",USA,"CHARTER COMMUNICATIONS",GUIDE
"1328EAU CLAIRE WI",USA,"CHARTER COMMUNICATIONS",031
"1396FOND DU LAC WI",USA,"CHARTER COMMUNICATIONS","GU IDE"
"11487JANESVILLE WI",USA,"CHARTER COMMUNICATIONS","GUI DE"
"12174MADISON WI",USA,"CHARTER COMMUNICATIONS",GUIDE
"6838MAZOMANIE WI",USA,"CHARTER COMMUNICATIONS","GUID E"
"10279MENOMONIE WI",USA,"CHARTER COMMUNICATIONS","GUID E"
"1019ONALASKA WI",USA,"CHARTER COMMUNICATIONS",GUIDE
"1312PARK FALLS/HAYWA WI",USA,"CHARTER COMMUNICATIONS",GUIDE
"1142RHINELANDER WI",USA,"CHARTER COMMUNICATIONS","GU IDE"
"7494RICE LAKE WI",USA,"CHARTER COMMUNICATIONS","GUID E"
"3798SHEBOYGAN WI",USA,"CHARTER COMMUNICATIONS","GUID E"
"2903TWO RIVERS/BROWN WI",USA,"CHARTER COMMUNICATIONS",GUIDE
"2542WAUTOMA WI",USA,"CHARTER COMMUNICATIONS",GUIDE
"30978WEST BEND WI",USA,"CHARTER COMMUNICATIONS","GUID E"
"1835WISCONSIN RAPIDS WI",USA,"CHARTER COMMUNICATIONS",GUIDE
"11414BUFFALO WY",USA,CHARTER,H0744
"2478CASPER WY",USA,CHARTER,H1335
"31693CHEYENNE WY",USA,CHARTER,H0215
"11111CODY WY",USA,CHARTER,H1737
"11406GILLETTE WY",USA,CHARTER,H0745
"11416GREYBULL WY",USA,CHARTER,H0743
"1329JACKSON WY",USA,CHARTER,H0870
"2170LARAMIE WY",USA,CHARTER,H0530
"1002NEWCASTLE WY",USA,CHARTER,H0213
"11247POWELL WY",USA,CHARTER,H1761
"3198RAWLINS WY",USA,CHARTER,H0157
"11227RIVERTON WY",USA,CHARTER,H0532
"11673SHERIDAN WY",USA,CHARTER,H2464
"11228THERMOPOLIS WY",USA,CHARTER,H0533
"11178WORLAND WY",USA,CHARTER,H0520
